"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"90","Andre Ellington ARI","15.824","20.86","14.332","28.11","16.720","19.99","17.817","BYE","28.11","14.631","17.518","17.019","17.817","14.829","21.05","15.725","14.631"
"91","Chris Johnson ARI","15.824","20.86","14.332","28.11","16.720","19.99","17.817","BYE","28.11","14.631","17.518","17.019","17.817","14.829","21.05","15.725","14.631"
"92","Lance Dunbar LAR","20.86","21.05","28.11","14.332","14.631","17.019","14.928","BYE","15.725","17.518","15.526","21.74","14.928","16.720","14.631","14.829","28.11"
"93","Matt Jones WAS","16.720","17.817","19.611","18.315","BYE","28.11","16.720","14.332","14.631","15.526","21.74","15.725","14.332","20.28","14.928","19.312","15.725"
"94","Alfred Blue HOU","17.019","18.314","14.830","14.829","18.315","23.72","BYE","14.631","20.86","17.817","14.928","15.027","14.829","28.11","17.019","20.57","20.86"
"95","DeAngelo Williams FA","","","","","","","","","","","","","","","","",""
"96","Charcandrick West KC","14.830","16.720","20.28","21.05","17.518","20.57","19.611","19.312","14.332","BYE","15.725","21.73","18.613","19.611","20.28","18.116","19.312"
"97","Javorius Allen BAL","18.314","23.72","17.019","20.57","19.611","16.123","15.526","18.116","14.829","BYE","16.421","17.518","15.824","20.57","23.72","20.86","18.314"
"98","Dwayne Washington DET","14.928","15.725","19.710","15.526","16.222","21.74","BYE","20.57","16.421","23.72","16.123","15.526","15.027","19.99","16.123","18.314","16.421"
"99","Malcolm Brown LAR","20.86","21.05","28.11","14.332","14.631","17.019","14.928","BYE","15.725","17.518","15.526","21.74","14.928","16.720","14.631","14.829","28.11"
"100","Benny Cunningham CHI","19.710","19.99","20.57","16.421","15.526","15.027","16.222","21.74","BYE","16.421","15.824","16.720","28.11","18.314","15.824","23.72","15.526"
"101","Kerwynn Williams ARI","15.824","20.86","14.332","28.11","16.720","19.99","17.817","BYE","28.11","14.631","17.518","17.019","17.817","14.829","21.05","15.725","14.631"
"102","Tarik Cohen CHI","19.710","19.99","20.57","16.421","15.526","15.027","16.222","21.74","BYE","16.421","15.824","16.720","28.11","18.314","15.824","23.72","15.526"
"103","James Starks FA","","","","","","","","","","","","","","","","",""
