"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"94","Wendall Williams HOU","19.827","18.431","20.226","26.23","23.612","24.011","BYE","23.613","22.322","25.17","25.74","24.110","26.23","25.65","19.827","18.630","22.322"
"95","ArDarius Stewart NYJ","21.623","23.514","24.68","19.827","24.011","20.226","24.68","23.317","21.623","23.416","BYE","24.39","23.612","13.532","23.515","20.824","20.226"
"96","Jeremy Kerley SF","24.39","23.613","25.17","25.74","22.322","23.218","22.721","26.92","25.74","20.625","BYE","23.613","25.26","19.528","26.23","19.827","25.17"
"97","Marquise Goodwin SF","24.39","23.613","25.17","25.74","22.322","23.218","22.721","26.92","25.74","20.625","BYE","23.613","25.26","19.528","26.23","19.827","25.17"
"98","Seth Roberts OAK","26.23","22.920","23.218","13.532","24.110","20.824","23.612","21.623","24.68","BYE","20.226","13.532","20.625","23.612","22.721","26.92","20.824"
"99","Charone Peake NYJ","21.623","23.514","24.68","19.827","24.011","20.226","24.68","23.317","21.623","23.416","BYE","24.39","23.612","13.532","23.515","20.824","20.226"
"100","Kamar Aiken IND","25.17","25.74","24.011","23.613","25.65","26.23","19.827","18.431","19.528","18.630","BYE","26.23","19.827","21.623","13.532","24.110","19.528"
"101","Phillip Dorsett IND","25.17","25.74","24.011","23.613","25.65","26.23","19.827","18.431","19.528","18.630","BYE","26.23","19.827","21.623","13.532","24.110","19.528"
"102","Tajae Sharpe TEN","23.514","19.827","23.613","19.528","24.68","22.322","24.011","BYE","24.110","18.431","18.630","22.322","19.528","25.74","25.65","25.17","19.827"
"103","Josh Gordon CLE","18.630","24.110","22.322","18.431","22.920","19.528","26.23","19.429","BYE","23.219","19.827","18.431","20.824","27.71","24.110","25.26","18.630"
"104","Chad Williams ARI","23.219","22.322","22.721","25.65","26.92","23.416","25.17","BYE","25.65","23.613","19.528","19.827","25.17","26.23","23.218","20.625","23.613"
"105","Jermaine Kearse SEA","27.71","25.65","26.23","22.322","25.17","BYE","20.625","19.528","23.218","25.74","23.317","25.65","26.92","19.827","25.17","22.721","25.74"
"106","Carlos Henderson DEN","20.824","22.721","21.623","23.514","BYE","20.625","20.824","23.612","26.92","20.226","18.431","23.514","24.68","22.920","22.322","23.218","23.612"
"107","Albert Wilson KC","20.226","26.92","20.824","23.218","19.528","18.630","23.514","13.532","22.721","BYE","20.625","21.623","22.920","23.514","20.824","24.68","13.532"
"108","Taywan Taylor TEN","23.514","19.827","23.613","19.528","24.68","22.322","24.011","BYE","24.110","18.431","18.630","22.322","19.528","25.74","25.65","25.17","19.827"
"109","Dontrelle Inman LAC","13.532","24.68","23.612","26.92","20.625","23.514","13.532","20.226","BYE","19.827","21.623","22.721","24.011","23.218","23.612","22.920","23.514"
"110","Jaelen Strong HOU","19.827","18.431","20.226","26.23","23.612","24.011","BYE","23.613","22.322","25.17","25.74","24.110","26.23","25.65","19.827","18.630","22.322"
"111","Markus Wheaton CHI","23.317","23.416","18.630","27.71","19.429","24.110","24.39","23.515","BYE","27.71","23.219","26.92","25.65","18.431","23.219","24.011","19.429"
"112","Brandon Coleman NO","19.429","20.226","24.39","24.68","BYE","23.219","27.71","25.26","23.416","21.623","23.218","25.17","24.39","23.317","22.920","23.317","23.416"
"113","Chris Godwin TB","24.68","25.26","19.429","20.625","20.226","25.74","21.623","24.39","23.515","22.920","BYE","23.317","27.71","23.219","23.317","24.39","23.515"
"114","Aldrick Robinson SF","24.39","23.613","25.17","25.74","22.322","23.218","22.721","26.92","25.74","20.625","BYE","23.613","25.26","19.528","26.23","19.827","25.17"
"115","Sammie Coates PIT","24.011","19.429","25.26","24.110","19.827","23.612","18.431","23.219","BYE","22.322","26.23","27.71","18.431","24.110","20.226","19.528","24.011"
"116","Adam Humphries TB","24.68","25.26","19.429","20.625","20.226","25.74","21.623","24.39","23.515","22.920","BYE","23.317","27.71","23.219","23.317","24.39","23.515"
"117","Cordarrelle Patterson OAK","26.23","22.920","23.218","13.532","24.110","20.824","23.612","21.623","24.68","BYE","20.226","13.532","20.625","23.612","22.721","26.92","20.824"
"118","Dede Westbrook JAC","19.528","26.23","24.110","22.920","18.630","25.17","22.322","BYE","18.431","20.824","24.011","25.74","22.322","23.613","19.528","25.65","26.23"
"119","Andre Holmes BUF","22.920","24.39","13.532","23.317","18.431","BYE","23.416","23.514","22.920","23.515","20.824","23.612","20.226","22.322","24.68","20.226","24.68"
"120","Josh Reynolds LAR","22.322","23.218","25.65","22.721","23.613","19.827","25.74","BYE","20.625","19.528","19.429","23.515","25.74","26.92","23.613","26.23","25.65"
"121","Vincent Jackson FA","","","","","","","","","","","","","","","","",""
"122","Brian Quick WAS","26.92","25.17","23.514","23.612","BYE","25.65","26.92","22.721","23.613","19.429","23.515","20.625","22.721","20.824","25.74","13.532","20.625"
"123","Geronimo Allison GB","23.613","23.317","18.431","25.26","22.721","19.429","23.515","BYE","23.219","25.26","24.110","18.630","23.416","24.011","24.39","19.429","23.219"
"124","Chester Rogers IND","25.17","25.74","24.011","23.613","25.65","26.23","19.827","18.431","19.528","18.630","BYE","26.23","19.827","21.623","13.532","24.110","19.528"
"125","Dorial Green-Beckham FA","","","","","","","","","","","","","","","","",""
"126","Bruce Ellington HOU","19.827","18.431","20.226","26.23","23.612","24.011","BYE","23.613","22.322","25.17","25.74","24.110","26.23","25.65","19.827","18.630","22.322"
"127","Chad Hansen NYJ","21.623","23.514","24.68","19.827","24.011","20.226","24.68","23.317","21.623","23.416","BYE","24.39","23.612","13.532","23.515","20.824","20.226"
"128","Demarcus Robinson KC","20.226","26.92","20.824","23.218","19.528","18.630","23.514","13.532","22.721","BYE","20.625","21.623","22.920","23.514","20.824","24.68","13.532"
"129","Rashard Higgins CLE","18.630","24.110","22.322","18.431","22.920","19.528","26.23","19.429","BYE","23.219","19.827","18.431","20.824","27.71","24.110","25.26","18.630"
"130","Victor Cruz CHI","23.317","23.416","18.630","27.71","19.429","24.110","24.39","23.515","BYE","27.71","23.219","26.92","25.65","18.431","23.219","24.011","19.429"
"131","Ricardo Louis CLE","18.630","24.110","22.322","18.431","22.920","19.528","26.23","19.429","BYE","23.219","19.827","18.431","20.824","27.71","24.110","25.26","18.630"
"132","Steve Smith FA","","","","","","","","","","","","","","","","",""
"133","Brice Butler DAL","20.625","13.532","25.74","25.17","27.71","BYE","25.65","23.218","23.612","23.317","26.92","20.824","23.218","20.625","23.514","23.613","26.92"
"134","Pharoh Cooper LAR","22.322","23.218","25.65","22.721","23.613","19.827","25.74","BYE","20.625","19.528","19.429","23.515","25.74","26.92","23.613","26.23","25.65"
"135","Justin Hardy ATL","25.26","27.71","23.219","21.623","BYE","24.68","20.226","22.920","24.39","22.721","23.613","23.416","19.429","23.515","23.416","23.515","24.39"
"136","Leonte Carroo MIA","23.416","20.824","22.920","23.515","26.23","23.317","22.920","24.110","23.514","24.39","BYE","20.226","13.532","20.226","21.623","23.612","21.623"
"137","Marquess Wilson NYJ","21.623","23.514","24.68","19.827","24.011","20.226","24.68","23.317","21.623","23.416","BYE","24.39","23.612","13.532","23.515","20.824","20.226"
"138","Jalin Marshall NYJ","21.623","23.514","24.68","19.827","24.011","20.226","24.68","23.317","21.623","23.416","BYE","24.39","23.612","13.532","23.515","20.824","20.226"
"139","Russell Shepard CAR","25.65","21.623","23.515","20.226","23.219","26.92","25.26","23.416","23.317","24.68","BYE","22.920","23.515","19.429","27.71","23.416","23.317"
"140","Rod Streater BUF","22.920","24.39","13.532","23.317","18.431","BYE","23.416","23.514","22.920","23.515","20.824","23.612","20.226","22.322","24.68","20.226","24.68"
"141","Michael Campanaro BAL","18.431","24.011","19.827","18.630","23.514","25.26","19.429","24.68","26.23","BYE","27.71","19.528","23.219","18.630","24.011","22.322","18.431"
"142","Philly Brown BUF","22.920","24.39","13.532","23.317","18.431","BYE","23.416","23.514","22.920","23.515","20.824","23.612","20.226","22.322","24.68","20.226","24.68"
"143","Ryan Switzer DAL","20.625","13.532","25.74","25.17","27.71","BYE","25.65","23.218","23.612","23.317","26.92","20.824","23.218","20.625","23.514","23.613","26.92"
"144","Chris Moore BAL","18.431","24.011","19.827","18.630","23.514","25.26","19.429","24.68","26.23","BYE","27.71","19.528","23.219","18.630","24.011","22.322","18.431"
"145","TJ Jones DET","25.74","20.625","23.317","19.429","24.39","23.515","BYE","18.630","27.71","24.011","25.26","19.429","24.110","23.416","25.26","18.431","27.71"
"146","Stevie Johnson FA","","","","","","","","","","","","","","","","",""
